resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
5,2,2,4,1,0,0,1,0,2,1,1,3,6,3,1,54,20,70,4,3,2,3,2,1,1,0,5,Correct,Incorrect,0,1,0,0.4,0.5,0.5,Disagree Strongly,Agree,Disagree,Agree,2012,5,2,4,2
5,4,5,4,1,0,1,1,0,1,3,2,2,4,2,1,24,23,15,3,3,3,3,3,2,1,0,4,Correct,Incorrect,0,0,1,0.6,0.5666666666666667,0.5,Disagree Strongly,Disagree,Agree Strongly,Agree,2012,5,5,4,4
5,4,3,5,1,1,1,1,1,2,1,1,2,6,2,1,74,25,70,4,2,2,2,2,3,1,1,5,Correct,Correct,0,1,0,1,0.5,1,Disagree Strongly,Disagree,Neither,Agree Strongly,2012,5,3,5,4
2,2,1,2,1,0,0,1,1,2,2,2,1,1,5,1,48,16,60,5,5,4,4,4,4,1,0,5,Correct,Correct,1,1,0,0.6,0.8666666666666667,0.5,Agree,Agree,Disagree Strongly,Disagree,2012,2,1,2,2
5,4,3,2,1,0,1,1,1,1,3,2,3,4,4,1,67,15,90,5,2,2,3,3,2,1,1,4,Correct,Correct,0,0,1,0.8,0.5666666666666667,1,Disagree Strongly,Disagree,Neither,Disagree,2012,5,3,2,4
5,5,5,5,1,1,0,1,1,2,4,1,2,5,3,1,34,22,70,3,1,1,1,2,1,1,1,3,Correct,Correct,0,1,0,0.8,0.3,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
5,2,4,4,1,1,0,1,1,1,3,2,1,4,3,1,66,18,50,5,4,4,3,3,4,1,1,2,Correct,Correct,1,0,1,0.8,0.7666666666666667,1,Disagree Strongly,Agree,Agree,Agree,2012,5,4,4,2
3,4,4,2,1,0,1,0,0,1,4,1,1,4,5,1,73,24,60,5,5,1,4,5,4,1,0,4,Incorrect,Incorrect,1,0,0,0.4,0.8,0.5,Neither,Disagree,Agree,Disagree,2012,3,4,2,4
4,3,3,3,1,1,0,0,1,2,1,1,1,4,2,1,67,9,85,3,3,2,3,3,4,0,0,4,Incorrect,Correct,1,1,0,0.6,0.6,0,Disagree,Neither,Neither,Neither,2012,4,3,3,3
3,3,3,4,1,1,1,1,1,1,1,2,3,4,5,1,60,28,50,3,2,3,2,2,3,0,1,4,Correct,Correct,0,0,0,1,0.5,0.5,Neither,Neither,Neither,Agree,2012,3,3,4,3
5,5,5,5,1,1,0,1,1,1,3,2,2,7,2,1,52,17,85,4,2,4,3,3,4,1,0,4,Correct,Correct,0,0,1,0.8,0.6666666666666666,0.5,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,4,3,5,1,1,0,0,1,1,1,1,2,5,2,1,73,8,55,3,2,3,3,3,3,1,1,4,Incorrect,Correct,0,0,0,0.6,0.5666666666666667,1,Disagree,Disagree,Neither,Agree Strongly,2012,4,3,5,4
3,4,2,2,1,1,1,1,1,2,2,1,1,3,2,1,56,20,70,3,4,2,3,3,3,0,0,3,Correct,Correct,1,1,0,1,0.6,0,Neither,Disagree,Disagree,Disagree,2012,3,2,2,4
5,4,4,4,1,1,1,1,1,1,1,1,1,3,4,1,52,25,60,4,4,1,2,3,2,0,0,4,Correct,Correct,1,0,0,1,0.5333333333333333,0,Disagree Strongly,Disagree,Agree,Agree,2012,5,4,4,4
4,2,1,2,1,1,1,1,1,2,4,2,2,5,5,1,63,25,75,4,2,2,4,2,2,1,0,5,Correct,Correct,0,1,0,1,0.5333333333333333,0.5,Disagree,Agree,Disagree Strongly,Disagree,2012,4,1,2,2
